id,date,day,trading,data available,price,spread-low,spread-high,event
OT010,1912-03-10T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-03-11T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-12T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-13T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-14T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-15T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-16T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-17T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-03-18T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-19T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-20T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-21T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-22T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-23T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-24T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-03-25T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-26T00:00:00Z,Tuesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-27T00:00:00Z,Wednesday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-28T00:00:00Z,Thursday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-29T00:00:00Z,Friday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-30T00:00:00Z,Saturday,TRUE,TRUE,NA,NA,NA,NA
OT010,1912-03-31T00:00:00Z,Sunday,FALSE,FALSE,NA,NA,NA,NA
OT010,1912-04-01T00:00:00Z,Monday,TRUE,TRUE,NA,NA,NA,NA
